StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,cherry,strawberry,rasberry,cranberry,apple,tomato,ketchup,pomegranate,lemon,banana,corn,pineapple,mustard,butter,avo1,cabbage,zucchini,broccoli,kiwi,asparagus,cucumber,pea,lettuce,celery,kale,spinach,carrot,pumpkin,mango,clementine,cheetos,eggplant,plum,fig,raisin,cauliflower,rice,milk,yogurt,mayo,ranch,marshmallow,salt,cinnamon,coffee,almond,peanut
3/3/23 7:30,3/3/23 7:32,IP Address,76.111.170.58,100,127,TRUE,3/3/23 7:32,R_3mmh7GthuCohA1k,,,,,39.6732,-75.7121,anonymous,EN,6,7,7,7,4,7,7,7,7,7,7,7,7,3,7,5,3,5,5,7,7,7,7,7,7,7,7,7,6,7,7,6,4,3,3,2,2,7,5,6,5,7,7,6,7,4,4
3/3/23 7:31,3/3/23 7:33,IP Address,128.4.93.63,100,103,TRUE,3/3/23 7:33,R_3pmtEwiyIcVi6ph,,,,,38.663,-75.2443,anonymous,EN,5,7,7,7,5,7,7,5,7,7,7,7,7,4,6,4,7,7,4,5,7,5,4,6,7,7,7,7,4,7,7,7,7,5,5,7,7,7,7,6,6,7,7,6,7,7,7
3/3/23 7:30,3/3/23 7:33,IP Address,71.200.177.108,100,171,TRUE,3/3/23 7:33,R_Xk1l0j3xqlMMANP,,,,,39.6249,-75.8351,anonymous,EN,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,4,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,5,7,5,7,7,7,7,5,7,7,7,7,5,5
3/3/23 7:32,3/3/23 7:34,IP Address,68.80.89.54,100,122,TRUE,3/3/23 7:34,R_UDqWqQa79C82mE9,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,7,7,7,4,7,7,7,7,7,5,7,4,4,7,7,7,7,7,7,7,7,7,7,7,5,7,5,7,5,5,7,7,7,7,5,7,6,7,7,7,7,7,7
3/3/23 7:39,3/3/23 7:41,IP Address,108.16.59.93,100,119,TRUE,3/3/23 7:41,R_1GwzGNJnOCN5jix,,,,,39.6327,-75.6998,anonymous,EN,7,7,7,7,5,7,7,5,7,6,6,4,2,7,7,6,7,7,5,6,7,7,7,6,7,7,7,7,5,7,7,7,7,5,5,5,5,7,7,2,5,7,7,7,7,7,7
3/3/23 7:39,3/3/23 7:43,IP Address,172.56.216.70,100,217,TRUE,3/3/23 7:43,R_2t8SLyqXW8qYE0K,,,,,39.9668,-75.1512,anonymous,EN,7,7,6,5,2,7,7,2,7,5,6,7,2,4,7,4,7,7,7,7,7,7,7,7,7,7,7,5,1,6,7,7,6,3,4,2,4,7,4,2,5,7,7,7,4,6,6
3/3/23 8:37,3/3/23 8:41,IP Address,76.124.92.126,100,219,TRUE,3/3/23 8:41,R_bpaZunK4LZ5BXhL,,,,,39.6732,-75.7121,anonymous,EN,6,7,7,5,3,7,7,4,7,7,7,6,7,4,5,3,7,7,5,6,7,7,3,6,6,7,5,4,3,6,5,6,7,3,2,6,6,7,3,6,4,6,7,3,5,3,2
3/3/23 8:49,3/3/23 8:53,IP Address,73.141.164.207,100,240,TRUE,3/3/23 8:53,R_2f9guXEZtLx6ord,,,,,39.6732,-75.7121,anonymous,EN,7,5,4,6,7,7,7,5,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,7,5,7,6,4,1,3,7,7,7,1,1,5,7,7,7,1,1
3/3/23 7:50,3/3/23 8:59,IP Address,128.4.73.95,100,4170,TRUE,3/3/23 8:59,R_1eIDZyshQ1qbzmv,,,,,39.7788,-75.8899,anonymous,EN,7,7,4,4,7,7,4,3,7,7,7,6,2,2,5,1,1,7,3,4,6,5,5,3,6,7,7,6,3,5,3,3,2,1,1,2,3,7,1,1,1,4,4,1,6,1,1
3/3/23 9:10,3/3/23 9:12,IP Address,73.188.237.14,100,123,TRUE,3/3/23 9:12,R_22SurFf09HJV39y,,,,,39.6732,-75.7121,anonymous,EN,7,7,6,7,5,7,7,6,7,7,7,7,6,5,7,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7
3/3/23 9:14,3/3/23 9:16,IP Address,128.4.107.178,100,104,TRUE,3/3/23 9:16,R_33sxzJZecTSWIhw,,,,,39.7007,-75.7419,anonymous,EN,5,7,5,4,7,7,7,3,7,7,7,7,7,5,7,7,3,7,7,7,7,7,7,6,4,5,7,7,4,5,6,7,7,4,7,5,5,7,5,7,7,7,7,5,7,5,5
3/3/23 9:26,3/3/23 9:32,IP Address,128.4.120.253,100,360,TRUE,3/3/23 9:32,R_28zznxdbsEESPSR,,,,,39.7007,-75.7419,anonymous,EN,6,7,7,7,3,7,7,4,7,7,7,7,5,6,5,5,5,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,6,7,6,7,7,4,2,5,6,6,7,7,7,5
3/3/23 9:57,3/3/23 10:00,IP Address,174.216.53.152,100,199,TRUE,3/3/23 10:00,R_3sgfiXSBOks3RTD,,,,,39.7354,-74.9838,anonymous,EN,6,6,6,7,6,7,7,7,7,7,7,6,7,7,5,5,6,7,5,6,6,7,5,6,6,7,6,7,6,7,7,7,7,6,6,7,7,7,5,6,6,7,6,6,7,7,5
3/3/23 11:23,3/3/23 11:25,IP Address,73.188.79.54,100,96,TRUE,3/3/23 11:25,R_265b2tMn9JNGdsC,,,,,39.7458,-75.581,anonymous,EN,7,7,7,7,4,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,3,4,5,7,7,7,7,7,7,7,6,6,6,6
3/3/23 15:19,3/3/23 15:22,IP Address,174.247.80.116,100,156,TRUE,3/3/23 15:22,R_2OPAIRXxjeuDbj3,,,,,39.9544,-75.1657,anonymous,EN,7,7,5,4,7,7,7,4,7,6,5,3,6,4,6,6,7,7,5,7,6,7,6,6,5,7,7,6,5,6,7,7,7,5,6,1,5,7,5,5,5,6,6,5,6,6,6
3/3/23 15:49,3/3/23 15:55,IP Address,71.230.228.226,100,356,TRUE,3/3/23 15:55,R_3lRd2Q87d4P2TS4,,,,,39.7458,-75.581,anonymous,EN,7,7,7,7,7,7,7,5,7,7,7,7,7,5,6,5,6,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,5,5,5,7,7,5,5,6,7,7,6,6,4,4
3/3/23 16:18,3/3/23 16:29,IP Address,173.49.55.134,100,669,TRUE,3/3/23 16:29,R_XM4cGz6NNw4kYWB,,,,,39.6732,-75.7121,anonymous,EN,7,5,6,6,6,7,6,3,7,6,6,5,4,4,6,2,4,5,5,6,5,6,6,6,6,7,7,7,4,6,7,7,6,4,2,5,4,7,6,6,6,7,5,5,7,6,3
3/4/23 11:58,3/4/23 12:02,IP Address,128.4.98.207,100,271,TRUE,3/4/23 12:02,R_3GjNYI7sKmD1JCH,,,,,39.7007,-75.7419,anonymous,EN,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,6,7,7,7,3,7,7,7,7,4,6,7,7,7,7,7,1
3/4/23 11:58,3/4/23 12:02,IP Address,128.4.71.171,100,216,TRUE,3/4/23 12:02,R_2TLt0xogwdWJLq7,,,,,39.6934,-75.758,anonymous,EN,7,5,5,7,7,7,7,4,7,7,5,7,4,7,7,7,,7,7,7,7,5,5,6,4,7,6,5,7,6,3,7,6,6,5,6,6,7,7,7,7,7,7,7,7,7,4
3/4/23 12:01,3/4/23 12:03,IP Address,128.4.179.1,100,124,TRUE,3/4/23 12:04,R_3KvV9BgRCf7y1t4,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,7,7,7,7,7,6,6,7,6,7,5,6,6,6,7,7,7,7,6,7,6,7,4,5,4,6,7,6,6,3,4,7,7,7,7,7,7,7,7,6,6,7,7
3/5/23 5:36,3/5/23 5:40,IP Address,100.11.174.140,100,276,TRUE,3/5/23 5:40,R_27WEey3318mw7d3,,,,,39.7007,-75.7419,anonymous,EN,5,7,5,,5,7,7,5,7,7,7,6,7,4,7,5,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,6,4,6,6,5,7,7,4,7,7,6,6,7,6,6
3/6/23 10:35,3/6/23 10:36,IP Address,173.75.250.92,100,68,TRUE,3/6/23 10:36,R_1Cq2kvZiDE4iqmf,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5
3/6/23 14:37,3/6/23 14:41,IP Address,68.84.70.25,100,192,TRUE,3/6/23 14:41,R_12QGzN1l1ZE2XfS,,,,,39.6732,-75.7121,anonymous,EN,7,6,3,7,2,7,7,6,7,7,6,4,7,6,7,7,7,7,4,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,6,4,7,4,6,6,7,7,7,7,7,7
3/6/23 14:52,3/6/23 14:54,IP Address,68.82.194.185,100,100,TRUE,3/6/23 14:54,R_1OrekL2OwGzDSx0,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7
3/7/23 10:29,3/7/23 10:32,IP Address,128.4.78.88,100,178,TRUE,3/7/23 10:32,R_extJEW6Qm1HlQu5,,,,,39.7007,-75.7419,anonymous,EN,2,7,3,3,4,7,7,1,7,7,7,7,7,4,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,4,7,2,6,7,7,7,7,7,7,4
3/7/23 12:18,3/7/23 12:22,IP Address,128.4.122.243,100,209,TRUE,3/7/23 12:22,R_2X1yhGZ4RXOLZ3C,,,,,39.7007,-75.7419,anonymous,EN,5,6,3,4,4,5,7,2,7,7,5,6,6,3,6,4,5,6,6,4,4,4,6,2,3,4,7,5,3,4,4,7,6,2,2,5,4,6,4,5,3,5,2,5,6,2,3
3/7/23 13:23,3/7/23 13:34,IP Address,73.200.254.100,100,604,TRUE,3/7/23 13:34,R_1gzQP68BvM086aP,,,,,39.6249,-75.8351,anonymous,EN,7,7,6,7,5,7,7,5,7,7,7,5,7,6,7,6,7,7,5,7,7,6,6,7,7,7,7,7,5,7,7,7,6,7,6,7,5,7,3,7,7,7,7,7,5,6,4
3/7/23 13:35,3/7/23 13:37,IP Address,128.4.145.74,100,113,TRUE,3/7/23 13:37,R_12DYgoZ43lU3322,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,6,7,5,4,6,7,7,7,7,7,7
3/7/23 14:32,3/7/23 14:34,IP Address,128.4.66.129,100,115,TRUE,3/7/23 14:45,R_2VgOitEfZU8c4dl,,,,,39.6327,-75.6998,anonymous,EN,7,7,7,7,5,6,7,7,7,7,7,6,6,6,5,3,6,7,5,7,7,6,6,6,5,6,7,7,4,7,6,7,7,6,7,7,4,7,6,5,6,6,5,6,7,6,4
